model,best_cv_accuracy,test_accuracy,test_precision,test_recall,test_f1,best_params
logistic_regression,0.8216290751502019,0.8324022346368715,0.8095238095238095,0.7391304347826086,0.7727272727272727,{'model__C': 1}
random_forest,0.8159558751108046,0.8491620111731844,0.828125,0.7681159420289855,0.7969924812030075,"{'model__max_depth': 5, 'model__n_estimators': 200}"
svm,0.8257854821235103,0.8491620111731844,0.85,0.7391304347826086,0.7906976744186046,"{'model__C': 1, 'model__kernel': 'rbf'}"
